,Latitude,Longitude
25257,"-30,277900","27,870700"
25258,"-30,142600","27,467400"
25259,"-29,822400","27,238800"
25260,"-30,111500","28,679000"
25261,"-28,863800","28,047900"
25262,"-28,863800","28,047900"
25263,"-30,559500","22,937500"
25264,"-28,296778","31,590236"
25265,"-28,296778","31,590236"
25266,"-18,665700","35,529600"
25267,"-30,559500","22,937500"
25268,"-34,155595","18,876779"
25269,"-32,774769","26,633756"
25270,"-31,622911","29,544772"
25271,"-29,610000","28,233600"
25272,"-28,863800","28,047900"
25273,"-33,304216","26,532760"
25274,"-29,610000","28,233600"
25275,"-31,080419","29,495220"
25276,"-29,125600","27,977600"
25277,"-30,264200","29,919100"
25278,"-30,692715","28,505744"
25279,"-31,543315","29,016396"
25280,"-28,297300","25,882423"
25281,"-27,986442","26,706612"
25282,"-27,986442","26,706612"
25283,"-31,163040","28,870557"
25284,"-27,873939","26,690719"
25285,"-30,859074","29,853843"
25286,"-32,716667","26,716667"
25287,"-30,859074","29,853843"
25288,"-30,859074","29,853843"
25289,"-32,880310","27,394544"
25290,"-30,859074","29,853843"
25291,"-32,001149","27,580451"
25292,"-32,096185","28,304888"
25293,"-30,859074","29,853843"
25294,"-29,125600","27,977600"
25295,"-28,529602","28,800361"
25296,"-27,986442","26,706612"
25297,"-30,142600","27,467400"
25298,"-29,174700","27,831100"
25299,"-21,167200","26,419400"
25300,"-25,317000","25,266000"
25301,"-31,361987","29,573285"
25302,"-30,859074","29,853843"
25303,"-32,880310","27,394544"
25304,"-32,001149","27,580451"
25305,"-31,163040","28,870557"
25306,"-30,958745","29,302209"
25307,"-33,246181","27,538198"
25308,"-28,863800","28,047900"
25309,"-33,684209","26,670361"
25310,"-30,142600","27,467400"
25311,"-32,787493","26,834396"
25312,"-33,590572","26,891037"
25313,"-28,863800","28,047900"
25314,"-30,692715","28,505744"
25315,"-28,296778","31,590236"
25316,"-32,096185","28,304888"
25317,"-31,163040","28,870557"
25318,"-28,103910","26,865930"
25319,"-32,330833","28,149808"
25320,"-27,873939","26,690719"
25321,"-31,819439","28,062940"
25322,"-28,296778","31,590236"
25323,"-24,823400","24,714300"
25324,"-32,096185","28,304888"
25325,"-29,174700","27,831100"
25326,"-28,863800","28,047900"
25327,"-30,559500","22,937500"
25328,"-28,863800","28,047900"
25329,"-28,863800","28,047900"
25330,"-23,836700","25,283800"
25331,"-33,011051","27,910049"
25332,"-29,515800","28,590200"
25333,"-28,103910","26,865930"
25334,"-30,111500","28,679000"
25335,"-27,873939","26,690719"
25336,"-29,610000","28,233600"
25337,"-33,304216","26,532760"
25338,"-30,142600","27,467400"
25339,"-28,863800","28,047900"
25340,"-32,001149","27,580451"
25341,"-30,692715","28,505744"
25342,"-29,837900","27,536400"
25343,"-29,610000","28,233600"
25344,"-31,163040","28,870557"
25345,"-32,203331","27,942790"
25346,"-28,863800","28,047900"
25347,"-27,986442","26,706612"
25348,"-28,103910","26,865930"
25349,"-31,361987","29,573285"
25350,"-29,315100","27,486900"
25351,"-28,863800","28,047900"
25352,"-29,515800","28,590200"
25353,"-28,664489","27,430481"
25354,"-32,933245","27,776556"
25355,"-31,163040","28,870557"
25356,"-30,559500","22,937500"
25357,"-24,399500","26,147800"
25358,"-31,163040","28,870557"
25359,"-27,986442","26,706612"
25360,"-30,142600","27,467400"
25361,"-32,096185","28,304888"
25362,"-27,986442","26,706612"
25363,"-29,315100","27,486900"
25364,"-31,080419","29,495220"
25365,"-32,774769","26,633756"
25366,"-29,174700","27,831100"
25367,"-27,986442","26,706612"
25368,"-28,765400","28,246800"
25369,"-32,787493","26,834396"
25370,"-29,610000","28,233600"
25371,"-30,142600","27,467400"
25372,"-29,315100","27,486900"
25373,"-28,863800","28,047900"
25374,"-31,080419","29,495220"
25375,"-32,001149","27,580451"
25376,"-31,080419","29,495220"
25377,"-32,001149","27,580451"
25378,"-31,361987","29,573285"
25379,"-31,622911","29,544772"
25380,"-30,142600","27,467400"
25381,"-32,826757","26,991089"
25382,"-31,622911","29,544772"
25383,"-30,859074","29,853843"
25384,"-29,315100","27,486900"
25385,"-33,304216","26,532760"
25386,"-30,264200","29,919100"
25387,"-29,822400","27,238800"
25388,"-28,529602","28,800361"
25389,"-32,036785","27,819944"
25390,"-30,901728","28,992385"
25391,"-28,765400","28,246800"
25392,"-26,533333","29,066667"
25393,"-32,096185","28,304888"
25394,"-27,873939","26,690719"
25395,"-33,200592","27,113846"
25396,"-32,001149","27,580451"
25397,"-28,765400","28,246800"
25398,"-22,328500","24,684900"
25399,"-32,880310","27,394544"
25400,"-31,163040","28,870557"
25401,"-32,774769","26,633756"
25402,"-31,163040","28,870557"
25403,"-30,142600","27,467400"
25404,"-30,111500","28,679000"
25405,"-30,859074","29,853843"
25406,"-31,071043","28,351833"
25407,"-32,774769","26,633756"
25408,"-29,822400","27,238800"
25409,"-30,692715","28,505744"
25410,"-31,622911","29,544772"
25411,"-32,774769","26,633756"
25412,"-30,692715","28,505744"
25413,"-32,834831","27,217424"
25414,"-31,163040","28,870557"
25415,"-31,622911","29,544772"
25416,"-30,142600","27,467400"
25417,"-32,298497","27,143616"
25418,"-28,863800","28,047900"
25419,"-30,866667","29,633333"
25420,"-28,103910","26,865930"
25421,"-31,606700","28,778100"
