"",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gold,"3,115","3,846","3,829","3,266","3,243","1,696","1,529","1,900","1,697","1,666","1,436"
Platinum,338,358,448,873,993,"1,005",895,949,1134,1597,778
Coal,88,127,231,194,162,249,212,269,279,213,182
Diamonds,12,9,3,6,8,6,8,6,17,20,34
Other,95,176,128,129,46,92,195,131,333,277,150
Total,"3,648","4,516","4,639","4,468","4,452","3,048","2,839","3,255","3,460","3,773","2,58"
