"",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gold,"1,450","1,556","1,671","1,430","1,642","1,095","1,115","1,164",837,619,543
Platinum,75,24,78,165,89,129,277,217,178,171,68
Coal,2,9,7,2,3,2,5,8,8,26,3
Diamonds,–,9,6,2,–,–,4,11,1,–,3
Other,10,11,16,95,8,60,19,30,39,19,18
Total,"1,537","1,609","1,778","1,694","1,742","1,286","1,420","1,430","1,063",835,635
