"",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Gold,705,626,"1,159",597,590,560,422,471,470,349,332
Platinum,874,952,318,312,237,367,368,354,387,480,347
Coal,83,73,69,117,93,158,95,230,131,177,119
Diamonds,3,23,102,5,10,11,10,14,42,70,30
Other,210,172,346,249,282,105,180,320,394,417,138
Total,"1,875","1,846","1,994","1,280","1,212","1,201","1,075","1,389","1,424","1,493",966
